"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"87","Show me your best sunset photo here: https://t.co/0QibNgnYN2 https://t.co/1dmTB8Hl7w",FALSE,263,NA,2018-12-10 13:19:04,FALSE,NA,"1072118503614767104",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECordJoe",33,FALSE,FALSE,NA,NA
"88","All fun and games 
until you remember tomorrow is Monday.
(Unless you're an entrepreneur 
or retired)… https://t.co/Fn0NfPWkwJ",FALSE,0,NA,2018-12-10 13:06:31,TRUE,NA,"1072115345018814466",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","demonproducer",0,FALSE,FALSE,NA,NA
"89",".
.
.
.
.
#hotnewhiphop #rapmusic #unsignedartist #soundcloud #musician #spinrilla #audiomack #hiphopblog… https://t.co/QjGOyK8FSg",FALSE,3,NA,2018-12-10 12:41:48,TRUE,NA,"1072109122869489664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YUNGKLIPBEATZ",0,FALSE,FALSE,NA,NA
"90","Don't forget to tune in at @bgegame's livestream tater today! In less then 6 hours they will be showcasing a demo (… https://t.co/6OBpaqUYzH",FALSE,46,NA,2018-12-10 11:18:07,TRUE,NA,"1072088061834612737",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArtDeckNL",9,FALSE,FALSE,NA,NA
"91","Monday AM vibes.. https://t.co/fLxKJOwUs8 https://t.co/DBebgTvzF3",FALSE,821,NA,2018-12-10 11:01:02,FALSE,NA,"1072083765915197441",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECordJoe",109,FALSE,FALSE,NA,NA
"92","@Dystopika @hitRECord Amazing!!!! 👏🏻",FALSE,1,"Dystopika",2018-12-10 06:52:27,FALSE,"1071930739002884097","1072021204632985600","45944541","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hey_jupiter",0,FALSE,FALSE,NA,NA
"93","What's the first thing this scene makes you think of??? https://t.co/i0UDoCUgs9 https://t.co/xZt6s0pF58",FALSE,796,NA,2018-12-10 06:27:05,FALSE,NA,"1072014821023985665",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECordJoe",62,FALSE,FALSE,NA,NA
"94","new @hitRECord robo rmx dropping soon. gird yr loins.",FALSE,1,NA,2018-12-10 06:25:43,FALSE,NA,"1072014480446492672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sir_Beardo",0,FALSE,FALSE,NA,NA
"95","another hitrecord highlight. my first string quartet orchestration. it was truly an honor to be a part of this proj… https://t.co/iSFVLuiWWg",FALSE,3,NA,2018-12-10 06:20:43,TRUE,NA,"1072013218749526016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sir_Beardo",0,FALSE,FALSE,NA,NA
"96","""Do not be afraid.""
https://t.co/ioUZnq8wXS",FALSE,3,NA,2018-12-10 03:36:22,FALSE,NA,"1071971859439083520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JerzyJung",0,FALSE,FALSE,NA,NA
"97","All fun and games until you remember tomorrow is Monday.. https://t.co/g996XxOQt1 https://t.co/MMJ754lo0H",FALSE,1357,NA,2018-12-10 03:28:02,FALSE,NA,"1071969763079938048",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECordJoe",215,FALSE,FALSE,NA,NA
